employeeNumber,lastName,firstName,extension,email,officeCode,reportsTo,jobTitle,salary
1002,Murphy,Diane,x5800,dmurphy@classicmodelcars.com,1,0,President,24000
1056,Patterson,Mary,x4611,mpatterso@classicmodelcars.com,1,1002,VP Sales,8179
1076,Firrelli,Jeff,x9273,jfirrelli@classicmodelcars.com,1,1002,VP Marketing,7177
1088,Patterson,William,x4871,wpatterson@classicmodelcars.com,6,1056,Sales Manager (APAC),9922
1102,Bondur,Gerard,x5408,gbondur@gmail.com,4,1056,Sale Manager (EMEA),7171
1143,Bow,Anthony,x5428,abow@classicmodelcars.com,1,1056,Sales Manager (NA),6218
1165,Jennings,Leslie,x3291,ljennings@classicmodelcars.com,1,1143,Sales Rep,19881
1166,Thompson,Leslie,x4065,lthompson@classicmodelcars.com,1,1143,Sales Rep,2781
1188,Firrelli,Julie,x2173,jfirrelli@classicmodelcars.com,2,1143,Sales Rep,2818
1216,Patterson,Steve,x4334,spatterson@classicmodelcars.com,2,1143,Sales Rep,2919
1286,Tseng,Foon Yue,x2248,ftseng@classicmodelcars.com,3,1143,Sales Rep,6281
1323,Vanauf,George,x4102,gvanauf@classicmodelcars.com,3,1143,Sales Rep,1819
1337,Bondur,Loui,x6493,lbondur@classicmodelcars.com,4,1102,Sales Rep,319
1370,Hernandez,Gerard,x2028,ghernande@classicmodelcars.com,4,1102,Sales Rep,2718
1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4,1102,Sales Rep,4828
1501,Bott,Larry,x2311,lbott@classicmodelcars.com,7,1102,Sales Rep,2812
1504,Jones,Barry,x102,bjones@,7,1102,Sales Rep,3151
1611,Fixter,Andy,x101,afixter@classicmodelcars.com,6,1088,Sales Rep,381
1612,Marsh,Peter,x102,pmarsh@classicmodelcars.com,6,1088,Sales Rep,1211
1619,King,Tom,x103,tking@classicmodelcars.com,6,1088,Sales Rep,1281
1621,Nishi,Mami,x101,mnishi@cmc.com,5,1056,Sales Rep,772
1625,Kato,Yoshimi,x102,ykato@classicmodelcars.com,5,1621,Sales Rep,837
1702,Gerard,Martin,x2312,mgerard@classicmodelcars.com,4,1102,Sales Rep,1281
